sticker_id,team_code,country,sticker_number,owned
IRQ02,IRQ,Iraque,2,False
IRQ03,IRQ,Iraque,3,False
IRQ07,IRQ,Iraque,7,False
IRQ16,IRQ,Iraque,16,False
JOR02,JOR,Jordânia,2,False
JOR03,JOR,Jordânia,3,False
JPN01,JPN,Japão,1,False
JPN04,JPN,Japão,4,False
JPN12,JPN,Japão,12,False
JPN17,JPN,Japão,17,False
JPN19,JPN,Japão,19,False
JPN20,JPN,Japão,20,False
KOR02,KOR,Coreia do Sul,2,False
KOR05,KOR,Coreia do Sul,5,False
KOR06,KOR,Coreia do Sul,6,False
KOR17,KOR,Coreia do Sul,17,False
KOR18,KOR,Coreia do Sul,18,False
KSA03,KSA,Arábia Saudita,3,False
KSA08,KSA,Arábia Saudita,8,False
MAR05,MAR,Marrocos,5,False
MAR12,MAR,Marrocos,12,False
MAR13,MAR,Marrocos,13,False
MEX01,MEX,México,1,False
MEX18,MEX,México,18,False
MEX19,MEX,México,19,False
NED07,NED,Holanda,7,False
NED13,NED,Holanda,13,False
NED16,NED,Holanda,16,False
NOR01,NOR,Noruega,1,False
NOR04,NOR,Noruega,4,False
NOR06,NOR,Noruega,6,False
NOR10,NOR,Noruega,10,False
NOR15,NOR,Noruega,15,False
NOR17,NOR,Noruega,17,False
NZL04,NZL,Nova Zelândia,4,False
NZL16,NZL,Nova Zelândia,16,False
NZL17,NZL,Nova Zelândia,17,False
PAN01,PAN,Panamá,1,False
PAN04,PAN,Panamá,4,False
PAN11,PAN,Panamá,11,False
PAN12,PAN,Panamá,12,False
PAN17,PAN,Panamá,17,False
PAR01,PAR,Paraguai,1,False
PAR09,PAR,Paraguai,9,False
PAR12,PAR,Paraguai,12,False
PAR14,PAR,Paraguai,14,False
PAR18,PAR,Paraguai,18,False
PAR19,PAR,Paraguai,19,False
POR02,POR,Portugal,2,False
POR03,POR,Portugal,3,False
POR04,POR,Portugal,4,False
POR05,POR,Portugal,5,False
POR17,POR,Portugal,17,False
RSA07,RSA,África do Sul,7,False
RSA15,RSA,África do Sul,15,False
RSA16,RSA,África do Sul,16,False
SCO12,SCO,Escócia,12,False
SEN01,SEN,Senegal,1,False
SUI04,SUI,Suíça,4,False
SWE13,SWE,Suécia,13,False
SWE16,SWE,Suécia,16,False
SWE18,SWE,Suécia,18,False
TUN02,TUN,Tunísia,2,False
TUN04,TUN,Tunísia,4,False
TUN20,TUN,Tunísia,20,False
TUR02,TUR,Turquia,2,False
TUR19,TUR,Turquia,19,False
URU05,URU,Uruguai,5,False
USA02,USA,Estados Unidos,2,False
USA04,USA,Estados Unidos,4,False
USA05,USA,Estados Unidos,5,False
USA07,USA,Estados Unidos,7,False
USA08,USA,Estados Unidos,8,False
USA09,USA,Estados Unidos,9,False
USA11,USA,Estados Unidos,11,False
USA14,USA,Estados Unidos,14,False
UZB01,UZB,Uzbequistão,1,False
UZB09,UZB,Uzbequistão,9,False
UZB13,UZB,Uzbequistão,13,False
UZB16,UZB,Uzbequistão,16,False
